ID,X,Y,Z,Floor
Bay0,-3.35532,10.401526666666665,1.50978,0
Bay1,-3.35532,14.517713333333333,1.50978,0
Bay2,-1.65842,14.517713333333333,1.50978,0
Bay3,-1.65842,10.401526666666665,1.50978,0
Bay4,8.21784,-0.1446533333333333,1.51957,0
Bay5,9.91474,-0.1446533333333333,1.51957,0
Bay6,8.21784,0.8581833333333333,1.51957,0
Bay7,9.91474,0.8581833333333333,1.51957,0
Bay8,-3.35532,10.401526666666665,3.01957,1
Bay9,-3.35532,14.517713333333333,3.01957,1
Bay10,-1.65842,14.517713333333333,3.01957,1
Bay11,10.524816666666666,6.626483333333333,3.01957,1
Bay12,-1.65842,10.401526666666665,3.01957,1
Bay13,10.524816666666666,8.907006666666668,3.01957,1
Bay14,9.437993333333335,6.626483333333333,3.01957,1
Bay15,9.437993333333335,8.907006666666668,3.01957,1
Bay16,8.21784,-0.1446533333333333,3.03913,1
Bay17,9.91474,-0.1446533333333333,3.03913,1
Bay18,8.21784,0.8581833333333333,3.03913,1
Bay19,9.91474,0.8581833333333333,3.03913,1
Bay20,10.524816666666666,6.626483333333333,6.03913,1
Bay21,10.524816666666666,8.907006666666668,6.03913,1
Bay22,9.437993333333335,6.626483333333333,6.03913,1
Bay23,9.437993333333335,8.907006666666668,6.03913,1
