ID,X,Y,Z
N0,10.0,15.0,2.5
N1,10.0,15.0,5.0
N2,5.0,15.0,2.5
N3,5.0,15.0,5.0
N4,10.0,5.0,0.0
N5,10.0,5.0,2.5
N6,10.0,5.0,5.0
N7,5.0,5.0,0.0
N8,5.0,5.0,2.5
N9,5.0,5.0,5.0
N10,-0.0,10.0,2.5
N11,-0.0,10.0,5.0
N12,-0.0,0.0,0.0
N13,-0.0,0.0,2.5
N14,-0.0,0.0,5.0
N15,10.0,10.0,2.5
N16,10.0,10.0,5.0
N17,5.0,10.0,0.0
N18,5.0,10.0,2.5
N19,5.0,10.0,5.0
N20,10.0,0.0,0.0
N21,10.0,0.0,2.5
N22,10.0,0.0,5.0
N23,5.0,0.0,0.0
N24,5.0,0.0,2.5
N25,5.0,0.0,5.0
N26,-0.0,15.0,2.5
N27,-0.0,15.0,5.0
N28,-0.0,5.0,0.0
N29,-0.0,5.0,2.5
N30,-0.0,5.0,5.0
