Rectangle_ID,Area,Coordinates
0,6.028023600496368,"[[3.2604687213897705, 3.831695556640625], [5.686288356781006, 3.831695556640625], [5.686288356781006, 1.3467525243759155], [3.2604687213897705, 1.3467525243759155], [3.2604687213897705, 3.831695556640625]]"
1,3.3272099523546785,"[[0.0, 6.841569900512695], [-1.7790435552597046, 6.841569900512695], [-1.7790435552597046, 4.971345901489258], [0.0, 4.971345901489258], [0.0, 6.841569900512695]]"
